key,code,beginning-moment,end-moment,location,instructor,contact-email,link,draft-mode,key:training-module
training-session-01,TS-A-123,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-02,TS-AB-123,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-03,TS-ABC-123,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-04,TS-ABC-237,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-05,TS-RGX-123,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-06,TS-ABC-124,2020/03/21 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-07,TS-ABC-125,2020/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-08,TS-ABC-126,2200/12/24 23:59,2200/12/31 23:59,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-09,TS-ABC-127,2200/12/23 23:59,2200/12/31 23:59,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-10,TS-ABC-128,2023/03/31 23:59,2025/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-11,TS-ABC-129,2023/04/01 00:00,2025/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-12,TS-ABC-130,2024/02/28 23:59,2025/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-13,TS-ABC-131,2024/02/29 00:00,2025/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-14,TS-ABC-132,2024/02/29 15:32,2025/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-15,TS-ABC-133,2023/12/31 23:59,2025/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-16,TS-ABC-134,2024/01/01 00:00,2025/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-17,TS-ABC-135,2022/03/22 15:32,2023/03/31 23:59,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-18,TS-ABC-136,2022/03/22 15:32,2023/04/01 00:00,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-19,TS-ABC-137,2022/03/22 15:32,2024/02/28 23:59,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-20,TS-ABC-138,2022/03/22 15:32,2024/02/29 00:00,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-21,TS-ABC-139,2022/03/22 15:32,2024/02/29 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-22,TS-ABC-140,2022/03/22 15:32,2023/12/31 23:59,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-23,TS-ABC-141,2022/03/22 15:32,2024/01/01 00:00,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-24,TS-ABC-142,2022/03/22 15:32,2022/04/22 15:32,1,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-25,TS-ABC-143,2022/03/22 15:32,2022/04/22 15:32,2.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-26,TS-ABC-144,2022/03/22 15:32,2022/04/22 15:32,Esta es una localización de ejemplo.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-27,TS-ABC-145,2022/03/22 15:32,2022/04/22 15:32,This is a Sample location intended to have exactly 75 characters as string.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-28,TS-ABC-146,2022/03/22 15:32,2022/04/22 15:32,This is a Sample location intended to have exactly 74 characters as string,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-29,TS-ABC-147,2022/03/22 15:32,2022/04/22 15:32,這是一個範例位置,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
